Land,Staat,Bestä&shy;tigte Fälle,Neu,Todes&shy;fälle,Verdopp&shy;lung,Trend,Doubling_Color
:us:,:us: Vereinigte Staaten,337646,574,9648,6,&#9679;&#9679;&#9675;,orange
:es:,:es: Spanien,131646,0,12641,11,&#9679;&#9679;&#9675;,gelb
:it:,:it: Italien,128948,0,15887,17.5,&#9679;&#9679;&#9675;,grün
:de:,:de: Deutschland,96786,950,1491,9.1,&#9679;&#9679;&#9675;,gelb
:fr:,:fr: Frankreich,93780,7,8093,6,&#9679;&#9679;&#9675;,orange
:cn:,:cn: China,82641,39,3335,—,&nbsp;,grün
:ir:,:ir: Iran,58226,0,3603,13,&#9679;&#9679;&#9675;,gelb
:gb:,:gb: Großbritannien,48440,4,4943,5.4,&#9679;&#9679;&#9675;,orange
:tr:,:tr: Türkei,27069,0,574,5,&#9679;&#9675;&#9675;,orange
:ch:,:ch: Schweiz,21100,0,715,14.4,&#9679;&#9679;&#9675;,grün
:be:,:be: Belgien,19691,0,1447,8,&#9679;&#9679;&#9675;,gelb
:nl:,:nl: Niederlande,17965,12,1773,9.9,&#9679;&#9679;&#9675;,gelb
:ca:,:ca: Kanada,15940,184,281,5.6,&#9679;&#9679;&#9675;,orange
:at:,:at: Österreich,12051,0,204,20.5,&#9679;&#9679;&#9675;,grün
:br:,:br: Brasilien,11281,151,487,5.2,&#9679;&#9675;&#9675;,orange
:pt:,:pt: Portugal,11278,0,295,8.3,&#9679;&#9679;&#9675;,gelb
:kr:,:kr: Südkorea,10284,47,186,77.1,&#9679;&#9679;&#9675;,grün
:il:,:il: Israel,8611,181,51,7.7,&#9679;&#9679;&#9675;,gelb
:se:,:se: Schweden,6830,0,401,8,&#9679;&#9679;&#9675;,gelb
:no:,:no: Norwegen,5759,72,71,17.1,&#9679;&#9679;&#9675;,grün
:au:,:au: Australien,5687,0,35,15.7,&#9679;&#9679;&#9675;,grün
:ru:,:ru: Russische Föderation,5389,0,45,4.2,&#9679;&#9675;&#9675;,orange
:ie:,:ie: Irland,4994,0,158,8,&#9679;&#9679;&#9675;,gelb
:cz:,:cz: Tschechische Republik,4591,4,72,10.6,&#9679;&#9679;&#9675;,gelb
:dk:,:dk: Dänemark,4563,2,179,8.5,&#9679;&#9679;&#9675;,gelb
